Image URL,Credit,Caption,Alt text
/Objects/religion/folklore/apollo m.png,M,Apollo,"Apollo depicted with brown skin and everything else golden: curly long hair, a laurel wreath and cloak, sun disk around his head, and holding a lyre."
/Objects/religion/folklore/altar chrome.png,cytochrome-sea,altar,"a small table with a blue cloth, red crystal, blue bowl, jar of plants and feathers, a candle, a small figure of a wolf and the runes dagaz and thurisaz on it."
/Objects/religion/folklore/anthame koda 1.png,Koda,athame,"an altar; a brown rounded rectangle with a teal fabric ontop. ontop of the fabric is 2 candles in the top two corners, a black chalice / cup / or bowl in the center, an athame on the left side which is highlighted / outlined in green and a purple pendulum on the right side"
/Objects/religion/folklore/casting runes.png,cytochrome-sea,casting runes,two yellow hands throwing small orange runes.
/Objects/religion/folklore/cernunnos m.png,M,Cernunnos,"a figure based on ancient Celtic depiction of Cernunnos. dark-skinned figure with antlers, sitting with legs folded in front of him, holding a torc in one hand and snake in the other. he wears a torc and drk green clothing."
/Objects/religion/folklore/anthame koda 2.png,Koda,athame,a grey blade that is rectangular and has a triangle at the top with a black handle
/Objects/religion/folklore/druidry druidism fractals 1.png,Fractals,druidry / druidism,three lines that point upwards towards a centre point. They are wider at the bottom and taper at the top. There is a dot at the top of each line. The symbol is green
/Objects/religion/folklore/crone m.png,M,crone,"three faces, all women with plaited hair. the first faces the left and has a few freckles and black hair, the second faces the front and has some wrinkles, black, grey, and white hair. the third faces the right, and has many wrinkles and white hair. the one on the right has saturated bronze skin. the other two have desaturated bronze skin."
/Objects/religion/folklore/artemis.png,M,Artemis,"a stylised crescent moon behind the goddess Artemis, dressed in a white tunic and reaching for an arrow, holding a deer's horns with her other hand."
/Objects/religion/folklore/Hephaestus.png,M,Hephaestus,"The Greek god Hephaestus, god of the Forge. He's in his winged chariot, which is like a wheelchair, and holding a hammer. He has long black hair and a black beard, light olive skin, and his robes are dark grey and orange like lava down the side of volcano."
/Objects/religion/folklore/druidry druidism fractals 2.png,Fractals,druidry / druidism,three lines that point upwards towards a centre point. They are wider at the bottom and taper at the top. There is a dot at the top of each line. Arounds this there are three circles. The symbol is green.
/Objects/religion/folklore/Atlas.png,M,Atlas,"the Titan Atlas carrying the heavens, a dark blue sphere covered in stars. he's crouching and grimacing under the weight of it. he has light brown skin, silver hair and beard, and a fadd purple loincloth."
/Objects/religion/folklore/maiden mother crone m.png,M,"maiden, mother, crone","three faces, all women with plaited hair. the first faces the left and has a few freckles and black hair, the second faces the front and has some wrinkles, black, grey, and white hair. the third faces the right, and has many wrinkles and white hair. they all have desaturated bronze skin."
/Objects/religion/folklore/green man.png,M,green man,"a depiction of the fokloric green man, a bearded face made out of dark green leaves with twigs at the top."
/Objects/religion/folklore/druid fractals.png,Fractals,druid,A green bust of a person with a symbol of their chest. The symbols consists of three lines that point upwards towards a centre point. They are wider at the bottom and taper at the top. There is a dot at the top of each line.
/Objects/religion/folklore/maiden m.png,M,maiden,"three faces, all women with plaited hair. the first faces the left and has a few freckles and black hair, the second faces the front and has some wrinkles, black, grey, and white hair. the third faces the right, and has many wrinkles and white hair. the one on the left has saturated bronze skin. the other two have desaturated bronze skin."
/Objects/religion/folklore/mineral spirit koda.png,Koda,mineral spirit,a grey rock with a yellow wispy shape on top
/Objects/religion/folklore/pop paganism ot.png,Ottertime,pop paganism,"a silver pentacle. In front of it is a tilted magazine page with purple, blue, and pink panels."
/Objects/religion/folklore/pagan ee.png,Eldritch-Emojis,pagan,"a book with a brown cover with gold corners. the cover has a pentacle in a circle, with two lines below it that represent text."
/Objects/religion/folklore/mother m.png,M,mother,"three faces, all women with plaited hair. the first faces the left and has a few freckles and black hair, the second faces the front and has some wrinkles, black, grey, and white hair. the third faces the right, and has many wrinkles and white hair. the one in the middle has saturated bronze skin. the other two have desaturated bronze skin."
/Objects/religion/folklore/runes chrome.png,cytochrome-sea,runes,"image of three orange runes, gebo, laguz and algiz, surrounded by sparkles."
/Objects/religion/folklore/thoth m.png,M,Thoth,"a drawing of the Egyptian god Thoth, drawn with a green Ibis head, facing to the right and holding a staff and an ankh, based on a drawing by Jeff Dahl after New Kingom tomb paintings."
/Objects/religion/folklore/plant spirit koda.png,Koda,plant spirit,a potted leafy plant with a yellow wispy shape on top
/Objects/religion/folklore/witch bottle 2.png,thevanishedvoic,witch bottle,a small glass bottle with a corked stopper in it. it has colorful layers representing herbs.
/Objects/religion/folklore/triskelion.png,M,triskelion,"a simple black triskelion, which is a symbol made up of three spirals that meet in the centre."
/Objects/religion/folklore/witch bottle 1.png,thevanishedvoic,witch bottle,a small glass bottle with a corked stopper in it. it has colorful layers representing herbs. it has a pentacle on the upper part of the bottle.
